time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
1.602,3,379.000,857.000,67.000,603.000,380.000,865.000,68.000,644.000,380.000,865.000,68.000,644.000,0.024,0.25,0.61,0.01,0.00,0.07,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.635,3,380.000,865.000,68.000,644.000,386.000,856.000,68.000,632.000,386.000,856.000,68.000,632.000,0.013,0.24,0.61,0.01,0.00,0.07,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.668,3,386.000,856.000,68.000,632.000,384.000,862.000,68.000,606.000,384.000,862.000,68.000,606.000,0.016,0.25,0.60,0.01,0.01,0.07,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.702,3,384.000,862.000,68.000,606.000,386.000,848.000,69.000,635.000,386.000,848.000,69.000,635.000,0.022,0.24,0.61,0.01,0.01,0.08,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.735,3,386.000,848.000,69.000,635.000,384.000,853.000,69.000,613.000,384.000,853.000,69.000,613.000,0.014,0.25,0.60,0.01,0.00,0.07,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.768,3,384.000,853.000,69.000,613.000,385.000,847.000,70.000,619.000,385.000,847.000,70.000,619.000,0.007,0.23,0.61,0.01,0.01,0.08,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.802,3,385.000,847.000,70.000,619.000,384.000,850.000,70.000,639.000,384.000,850.000,70.000,639.000,0.011,0.24,0.61,0.01,0.00,0.08,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.835,3,384.000,850.000,70.000,639.000,379.000,855.000,76.000,623.000,379.000,855.000,76.000,623.000,0.015,0.24,0.61,0.01,0.01,0.07,0.05,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.869,3,379.000,855.000,76.000,623.000,379.000,862.000,86.000,630.000,379.000,862.000,86.000,630.000,0.011,0.24,0.61,0.01,0.00,0.07,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
1.902,3,379.000,862.000,86.000,630.000,399.000,841.000,95.000,643.000,399.000,841.000,95.000,643.000,0.031,0.25,0.63,0.01,0.00,0.06,0.04,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
