time,priority,object,text
1.560,3,2457826657056,Detection created
1.560,3,2457826657000,Detection created
1.560,3,2457826657112,Detection created
1.560,3,2457826657168,Detection created
1.560,3,2457826657224,Detection created
1.600,3,2457826657672,Detection created
1.600,3,2457826657728,Detection created
1.600,3,2457826657784,Detection created
1.600,3,2457826657840,Detection created
1.600,3,2457826657896,Detection created
1.600,3,2457826657952,Detection created
1.600,3,2457826658008,Detection created
1.640,3,2457826658568,Detection created
1.640,3,2457826658680,Detection created
1.640,3,2457826658624,Detection created
1.640,3,2457826658736,Detection created
1.640,3,2457826658792,Detection created
1.640,3,2457826658848,Detection created
1.680,3,2457826659296,Detection created
1.680,3,2457826659352,Detection created
1.680,3,2457826659408,Detection created
1.680,3,2457826659464,Detection created
1.680,3,2457826659520,Detection created
1.680,3,2457826659576,Detection created
1.720,3,2457826660080,Detection created
1.720,3,2457826660136,Detection created
1.720,3,2457826660192,Detection created
1.720,3,2457826660248,Detection created
1.720,3,2457826660304,Detection created
1.720,3,2457826619464,Detection created
1.720,3,2457826619520,Detection created
1.760,3,2457826620080,Detection created
1.760,3,2457826620192,Detection created
1.760,3,2457826620136,Detection created
1.760,3,2457826620248,Detection created
1.760,3,2457826620304,Detection created
1.760,3,2457826620360,Detection created
1.760,3,2457826620416,Detection created
1.760,1,2457826620696,Body created
1.760,2,2457826620640,Pattern created
1.800,3,2457826621144,Detection created
1.800,3,2457826621256,Detection created
1.800,3,2457826621200,Detection created
1.800,3,2457826621312,Detection created
1.800,3,2457826621368,Detection created
1.840,3,2457826621928,Detection created
1.840,3,2457826621816,Detection created
1.840,3,2457826621872,Detection created
1.840,3,2457826621984,Detection created
1.880,3,2457826622544,Detection created
1.880,3,2457826622488,Detection created
1.880,3,2457826622600,Detection created
1.880,3,2457826622656,Detection created
1.880,3,2457826622712,Detection created
1.920,3,2457826623440,Detection created
1.920,3,2457826623328,Detection created
1.920,3,2457826623384,Detection created
1.920,3,2457826685000,Detection created
1.920,3,2457826685056,Detection created
1.960,3,2457826685728,Detection created
1.960,3,2457826685616,Detection created
1.960,3,2457826685672,Detection created
1.960,3,2457826685784,Detection created
1.960,3,2457826685840,Detection created
2.000,3,2457826686512,Detection created
2.000,3,2457826686400,Detection created
2.000,3,2457826686456,Detection created
2.000,3,2457826686568,Detection created
2.000,3,2457826686624,Detection created
2.000,-1,2457833853504,car may collide in 3 seconds with probability 0.1 percent
2.000,-1,2457833855352,car may collide in 4 seconds with probability 0.1 percent
2.040,3,2457826687464,Detection created
2.040,3,2457826687296,Detection created
2.040,3,2457826687408,Detection created
2.040,3,2457826687520,Detection created
2.080,3,2457826688080,Detection created
2.080,3,2457826688024,Detection created
2.080,3,2457826688136,Detection created
2.080,3,2457826688192,Detection created
2.080,3,2457826688248,Detection created
2.120,3,2457826688976,Detection created
2.120,3,2457826688864,Detection created
2.120,3,2457826688920,Detection created
2.120,3,2457826603080,Detection created
2.120,3,2457826603136,Detection created
2.120,3,2457826603192,Detection created
2.160,3,2457826603864,Detection created
2.160,3,2457826603808,Detection created
2.160,3,2457826603920,Detection created
2.160,3,2457826603976,Detection created
2.160,3,2457826604032,Detection created
2.160,3,2457826604088,Detection created
2.160,1,2457826604424,Body created
2.160,2,2457826604368,Pattern created
2.200,3,2457826605040,Detection created
2.200,3,2457826604928,Detection created
2.200,3,2457826604984,Detection created
2.200,3,2457826605096,Detection created
2.200,3,2457826605152,Detection created
2.240,3,2457826605768,Detection created
2.240,3,2457826605824,Detection created
2.240,3,2457826605880,Detection created
2.240,3,2457826605936,Detection created
2.240,3,2457826605992,Detection created
2.280,3,2457826606664,Detection created
2.280,3,2457826606720,Detection created
2.280,3,2457826606776,Detection created
2.280,3,2457826606832,Detection created
2.280,3,2457826606888,Detection created
2.280,3,2457826606944,Detection created
2.280,3,2457826607000,Detection created
2.280,2,2457833853672,Pattern removed
2.320,3,2457824593288,Detection created
2.320,3,2457824595024,Detection created
2.320,3,2457824594184,Detection created
2.320,3,2457824595864,Detection created
2.320,3,2457824531288,Detection created
2.320,3,2457824531736,Detection created
2.360,3,2457824481520,Detection created
2.360,3,2457824482416,Detection created
2.360,3,2457824483368,Detection created
2.360,3,2457824484208,Detection created
2.360,3,2457824484880,Detection created
2.360,3,2457826722144,Detection created
2.400,3,2457826658848,Detection created
2.400,3,2457826659520,Detection created
2.400,3,2457826606944,Detection created
2.400,3,2457826607000,Detection created
2.400,3,2457826606608,Detection created
2.440,3,2457824986112,Detection created
2.440,3,2457824986224,Detection created
2.440,3,2457824986168,Detection created
2.440,3,2457824986280,Detection created
2.440,3,2457824986336,Detection created
2.480,3,2457824986952,Detection created
2.480,3,2457824987008,Detection created
2.480,3,2457824987064,Detection created
2.480,3,2457824987120,Detection created
2.480,3,2457824987176,Detection created
2.480,3,2457824987232,Detection created
2.520,3,2457824987904,Detection created
2.520,3,2457824987960,Detection created
2.520,3,2457824988016,Detection created
2.520,3,2457824988072,Detection created
2.520,3,2457824988128,Detection created
2.560,3,2457824988744,Detection created
2.560,3,2457824988688,Detection created
2.560,3,2457824988800,Detection created
2.560,3,2457824988856,Detection created
2.560,3,2457824988912,Detection created
2.600,3,2457826607568,Detection created
2.600,3,2457826607512,Detection created
2.600,3,2457826607624,Detection created
2.600,3,2457826607680,Detection created
2.600,3,2457826607736,Detection created
2.640,3,2457826608352,Detection created
2.640,3,2457826608408,Detection created
2.640,3,2457826608464,Detection created
2.640,3,2457826608520,Detection created
2.640,3,2457826608576,Detection created
2.680,3,2457826609192,Detection created
2.680,3,2457826609248,Detection created
2.680,3,2457826609304,Detection created
2.680,3,2457826609360,Detection created
2.680,3,2457826609416,Detection created
2.720,3,2457826610032,Detection created
2.720,3,2457826610088,Detection created
2.720,3,2457826610144,Detection created
2.720,3,2457826610200,Detection created
2.720,3,2457826610256,Detection created
2.760,3,2457826610872,Detection created
2.760,3,2457826610928,Detection created
2.760,3,2457826610984,Detection created
2.760,3,2457826611040,Detection created
2.760,3,2457826611096,Detection created
2.800,3,2457826742848,Detection created
2.800,3,2457826742904,Detection created
2.800,3,2457826742960,Detection created
2.800,3,2457826743016,Detection created
2.800,3,2457826743072,Detection created
2.840,3,2457826743688,Detection created
2.840,3,2457826743744,Detection created
2.840,3,2457826743800,Detection created
2.840,3,2457826743856,Detection created
2.840,3,2457826743912,Detection created
2.840,3,2457826743968,Detection created
2.880,3,2457826744640,Detection created
2.880,3,2457826744696,Detection created
2.880,3,2457826744752,Detection created
2.880,3,2457826744808,Detection created
2.880,3,2457826744864,Detection created
2.920,3,2457826745424,Detection created
2.920,3,2457826745480,Detection created
2.920,3,2457826745536,Detection created
2.920,3,2457826745592,Detection created
2.920,3,2457826745648,Detection created
2.920,3,2457826745704,Detection created
2.920,0,2457826620696,car observed distance 74 meters moving towards us from left to right speed 80 kilometers per hour 
2.960,3,2457825091712,Detection created
2.960,3,2457825091768,Detection created
2.960,3,2457825091824,Detection created
2.960,3,2457825091880,Detection created
3.000,3,2457825092384,Detection created
3.000,3,2457825092496,Detection created
3.000,3,2457825092440,Detection created
3.000,3,2457825092552,Detection created
3.000,-1,2457833853504,car may collide in 2 seconds with probability 0.1 percent
3.000,-1,2457833855352,car may collide in 4 seconds with probability 0.2 percent
3.000,-1,2457824592112,car may collide in 3 seconds with probability 0.2 percent
3.040,3,2457825093280,Detection created
3.040,3,2457825093448,Detection created
3.040,3,2457825093392,Detection created
3.040,3,2457825093504,Detection created
3.080,3,2457825094064,Detection created
3.080,3,2457825094176,Detection created
3.080,3,2457825094120,Detection created
3.080,3,2457825094232,Detection created
3.120,3,2457825094792,Detection created
3.120,3,2457825094904,Detection created
3.120,3,2457825094848,Detection created
3.120,3,2457825094960,Detection created
3.160,3,2457825095520,Detection created
3.160,3,2457825095632,Detection created
3.160,3,2457825095576,Detection created
3.160,3,2457825120328,Detection created
3.160,3,2457825120384,Detection created
3.200,3,2457825121000,Detection created
3.200,3,2457825121112,Detection created
3.200,3,2457825121056,Detection created
3.200,3,2457825121168,Detection created
3.240,3,2457825121672,Detection created
3.240,3,2457825121728,Detection created
3.240,3,2457825121784,Detection created
3.240,3,2457825121840,Detection created
3.280,3,2457825122400,Detection created
3.280,3,2457825122456,Detection created
3.280,3,2457825122512,Detection created
3.280,3,2457825122568,Detection created
3.280,2,2457833853448,Pattern removed
3.320,3,2457824592448,Detection created
3.320,3,2457824593400,Detection created
3.320,3,2457824594296,Detection created
3.320,3,2457824595920,Detection created
3.320,0,2457826604424,car observed distance 76 meters moving towards us from left to right speed 95 kilometers per hour 
3.360,3,2457824483200,Detection created
3.360,3,2457824484096,Detection created
3.360,3,2457824484824,Detection created
3.360,3,2457826681688,Detection created
3.400,3,2457826620136,Detection created
3.400,3,2457826621256,Detection created
3.400,3,2457826621816,Detection created
3.400,3,2457826622488,Detection created
3.400,3,2457826623384,Detection created
3.440,3,2457824531848,Detection created
3.440,3,2457824532576,Detection created
3.440,3,2457824533304,Detection created
3.440,3,2457824534088,Detection created
3.480,3,2457825121840,Detection created
3.480,3,2457825122848,Detection created
3.480,3,2457825122904,Detection created
3.480,3,2457825122960,Detection created
3.520,3,2457825123520,Detection created
3.520,3,2457825123576,Detection created
3.520,3,2457825123632,Detection created
3.520,3,2457825123688,Detection created
3.560,3,2457825124248,Detection created
3.560,3,2457825124304,Detection created
3.560,3,2457825149000,Detection created
3.560,3,2457825149056,Detection created
3.600,3,2457825149616,Detection created
3.600,3,2457825149672,Detection created
3.600,3,2457825149728,Detection created
3.600,3,2457825149784,Detection created
3.640,3,2457825150344,Detection created
3.640,3,2457825150400,Detection created
3.640,3,2457825150456,Detection created
3.640,3,2457825150512,Detection created
3.680,3,2457825151072,Detection created
3.680,3,2457825151128,Detection created
3.680,3,2457825151184,Detection created
3.720,3,2457825151688,Detection created
3.720,3,2457825151800,Detection created
3.720,3,2457825151744,Detection created
3.760,3,2457825152304,Detection created
3.760,3,2457825152416,Detection created
3.760,3,2457825152360,Detection created
3.760,2,2457824592056,Pattern removed
3.800,3,2457824522704,Detection created
3.800,3,2457824523656,Detection created
3.800,3,2457824524272,Detection created
3.800,3,2457824525168,Detection created
3.840,3,2457826681632,Detection created
3.840,3,2457826682304,Detection created
3.840,3,2457826683032,Detection created
3.840,3,2457826683928,Detection created
3.880,3,2457826687464,Detection created
3.880,3,2457826688864,Detection created
3.880,3,2457826688080,Detection created
3.920,3,2457824594352,Detection created
3.920,3,2457824595080,Detection created
3.920,3,2457824593288,Detection created
3.960,3,2457826658568,Detection created
3.960,3,2457826660136,Detection created
3.960,3,2457826659296,Detection created
