time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,vx_min_p,vx_max_p,vy_min_p,vy_max_p,vx_min_c,vx_max_c,vy_min_c,vy_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8,confidence
0.240,1,559.842,841.657,614.664,724.432,569.000,840.000,613.000,723.000,563.363,842.339,616.559,723.955,-52.411,75.311,75.311,11.858,-22.264,62.803,116.963,6.752,0.017,0.01,0.00,0.01,0.03,0.23,0.70,0.01,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.95
0.240,5,438.801,612.774,299.121,410.433,436.000,609.000,292.000,407.000,438.992,612.017,297.414,410.956,79.325,56.207,56.207,111.618,63.323,40.076,63.248,90.464,0.033,0.02,0.00,0.00,0.00,0.08,0.61,0.18,0.11,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.82
0.240,4,609.007,761.028,205.107,308.886,611.000,763.000,205.000,315.000,610.697,762.753,204.845,312.192,34.706,36.973,36.973,12.687,36.326,38.295,-9.611,27.706,0.022,0.09,0.02,0.01,0.00,0.08,0.19,0.13,0.48,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.55
0.240,8,441.543,592.626,254.437,332.248,438.000,594.000,255.000,337.000,440.420,593.897,254.919,335.261,91.518,26.654,26.654,-10.559,44.220,28.676,9.632,23.418,0.025,0.00,0.00,0.01,0.00,0.18,0.73,0.06,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01,0.44
0.240,6,312.217,440.407,199.692,280.512,308.000,443.000,196.000,287.000,310.021,442.541,197.844,283.656,-4.540,41.912,41.912,-4.710,-15.349,44.368,-10.135,13.174,0.045,0.07,0.01,0.00,0.01,0.15,0.56,0.12,0.07,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06,0.40
0.240,7,207.283,295.702,180.271,238.401,208.000,300.000,174.000,237.000,207.786,297.794,176.785,237.374,4.595,-30.099,-30.099,-11.709,7.091,-4.338,-15.668,-16.076,0.047,0.15,0.07,0.02,0.01,0.24,0.25,0.11,0.15,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14,0.29
0.280,3,541.118,738.851,402.506,561.075,543.000,744.000,407.000,568.000,543.085,741.706,405.748,566.111,51.001,21.750,21.750,85.026,50.662,30.887,58.934,92.551,0.027,0.02,0.00,0.00,0.02,0.07,0.25,0.12,0.52,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.280,2,838.879,1023.506,325.341,468.031,841.000,1027.000,323.000,466.000,840.857,1026.716,325.056,467.815,46.375,74.124,74.124,33.873,46.943,75.254,29.168,26.642,0.015,0.18,0.03,0.00,0.00,0.07,0.36,0.18,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,1.00
0.280,1,562.472,844.851,621.237,724.225,576.000,838.000,624.000,722.000,568.271,843.019,625.027,723.337,-22.264,62.803,62.803,6.752,8.525,42.809,112.873,1.425,0.030,0.01,0.00,0.01,0.04,0.27,0.66,0.01,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.86
0.280,5,441.525,613.620,299.944,414.574,441.000,617.000,301.000,408.000,442.639,616.047,301.790,413.464,63.323,40.076,40.076,90.464,56.793,43.871,60.100,68.698,0.022,0.01,0.00,0.00,0.00,0.08,0.61,0.21,0.08,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.70
