time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
0.240,7,207.000,297.000,181.000,238.000,208.000,300.000,174.000,237.000,208.000,300.000,174.000,237.000,0.046,0.15,0.07,0.02,0.01,0.24,0.25,0.11,0.15,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14
0.280,3,537.000,739.000,401.000,559.000,543.000,744.000,407.000,568.000,543.000,744.000,407.000,568.000,0.037,0.02,0.00,0.00,0.02,0.07,0.25,0.12,0.52,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.280,2,833.000,1021.000,321.000,465.000,841.000,1027.000,323.000,466.000,841.000,1027.000,323.000,466.000,0.024,0.18,0.03,0.00,0.00,0.07,0.36,0.18,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.280,1,569.000,840.000,613.000,723.000,576.000,838.000,624.000,722.000,576.000,838.000,624.000,722.000,0.036,0.01,0.00,0.01,0.04,0.27,0.66,0.01,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04
0.280,5,436.000,609.000,292.000,407.000,441.000,617.000,301.000,408.000,441.000,617.000,301.000,408.000,0.041,0.01,0.00,0.00,0.00,0.08,0.61,0.21,0.08,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.280,6,308.000,443.000,196.000,287.000,308.000,446.000,199.000,288.000,308.000,446.000,199.000,288.000,0.017,0.07,0.00,0.00,0.01,0.15,0.56,0.13,0.07,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06
0.280,8,438.000,594.000,255.000,337.000,439.000,598.000,255.000,336.000,439.000,598.000,255.000,336.000,0.011,0.01,0.00,0.02,0.01,0.16,0.73,0.07,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01
0.280,4,611.000,763.000,205.000,315.000,618.000,764.000,204.000,313.000,618.000,764.000,204.000,313.000,0.020,0.09,0.02,0.00,0.00,0.08,0.18,0.13,0.50,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.280,7,208.000,300.000,174.000,237.000,203.000,305.000,171.000,239.000,203.000,305.000,171.000,239.000,0.047,0.14,0.06,0.02,0.01,0.25,0.27,0.11,0.14,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14
0.320,2,841.000,1027.000,323.000,466.000,844.000,1030.000,325.000,472.000,844.000,1030.000,325.000,472.000,0.022,0.19,0.04,0.00,0.00,0.08,0.34,0.15,0.20,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.320,3,543.000,744.000,407.000,568.000,548.000,749.000,418.000,577.000,548.000,749.000,418.000,577.000,0.043,0.02,0.01,0.00,0.02,0.07,0.24,0.10,0.53,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
