time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance
0.64,2,868.39,1075.04,349.19,509.41,877.00,1077.00,354.00,515.00,873.72,1076.26,352.17,512.87,11.51
0.64,3,568.26,777.74,447.86,620.60,566.00,790.00,450.00,628.00,566.87,785.33,449.19,625.18,14.65
0.64,5,455.95,639.03,301.97,406.56,468.00,648.00,330.00,449.00,462.91,644.21,318.15,431.06,53.03
0.64,4,647.40,794.28,212.55,334.90,645.00,794.00,216.00,334.00,645.92,794.11,214.68,334.35,4.31
0.64,5,462.91,644.21,318.15,431.06,452.00,633.00,274.00,369.00,458.92,640.11,301.99,408.35,47.38
0.68,3,568.67,787.70,451.88,629.13,560.00,796.00,453.00,636.00,563.31,792.82,452.57,633.37,13.87
0.68,2,876.36,1079.72,354.22,515.66,879.00,1088.00,362.00,521.00,877.99,1084.83,359.03,518.96,12.83
0.68,5,460.58,642.21,303.35,409.44,468.00,648.00,328.00,449.00,464.87,645.55,317.58,432.28,47.55
0.68,4,647.96,796.14,215.07,335.51,643.00,798.00,213.00,338.00,644.89,797.28,213.79,337.05,6.21
0.68,5,464.87,645.55,317.58,432.28,459.00,653.00,266.00,376.00,462.72,648.28,298.70,411.68,51.30
0.68,6,332.34,443.74,202.49,257.85,365.00,486.00,213.00,277.00,401.81,535.51,237.88,307.17,57.70
0.72,3,564.94,795.47,455.38,637.62,559.00,799.00,456.00,646.00,561.27,797.66,455.76,642.80,10.88
0.72,2,880.77,1088.59,361.34,521.96,885.00,1093.00,363.00,525.00,883.39,1091.32,362.37,523.84,7.02
0.72,4,646.86,799.41,214.14,338.31,647.00,810.00,217.00,341.00,646.95,805.96,215.91,339.97,11.29
0.72,5,464.52,650.69,299.92,412.91,471.00,650.00,331.00,454.00,468.26,650.29,317.86,436.63,51.93
0.72,5,468.26,650.29,317.86,436.63,463.00,655.00,269.00,373.00,466.34,652.01,299.98,413.34,50.69
0.72,6,405.36,539.53,239.49,308.21,360.00,491.00,211.00,278.00,319.35,432.60,187.60,245.54,78.34
0.72,6,319.35,432.60,187.60,245.54,357.00,488.00,234.00,319.00,382.24,519.50,233.99,311.22,71.70
0.76,3,562.80,800.48,458.67,647.38,560.00,806.00,467.00,656.00,561.07,803.89,463.82,652.70,13.49
0.76,2,886.36,1095.31,364.79,527.01,892.00,1095.00,370.00,533.00,889.84,1095.11,368.01,530.71,9.74
0.76,4,648.98,808.41,216.34,341.33,653.00,819.00,219.00,342.00,651.46,814.95,217.98,341.74,11.65
0.76,5,468.26,654.55,301.24,414.63,478.00,654.00,335.00,457.00,473.89,654.23,320.73,439.09,55.05
0.76,5,473.89,654.23,320.73,439.09,443.00,624.00,272.00,372.00,462.58,643.17,302.89,414.54,65.15
0.76,6,385.01,522.88,235.45,312.42,359.00,490.00,232.00,323.00,354.34,482.65,223.95,305.98,43.38
0.76,6,354.34,482.65,223.95,305.98,365.00,489.00,208.00,276.00,370.84,502.13,226.03,305.81,60.23
0.76,5,462.58,643.17,302.89,414.54,485.00,668.00,251.00,352.00,468.59,649.82,288.99,397.78,83.11
0.80,3,562.57,806.93,467.01,657.63,562.00,811.00,476.00,667.00,562.22,809.45,472.57,663.42,13.62
