time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,vx_min,vx_max,vy_min,vy_max,sigma_x_min_00,sigma_x_min_01,sigma_x_min_10,sigma_x_min_11,sigma_x_max_00,sigma_x_max_01,sigma_x_max_10,sigma_x_max_11,sigma_y_min_00,sigma_y_min_01,sigma_y_min_10,sigma_y_min_11,sigma_y_max_00,sigma_y_max_01,sigma_y_max_10,sigma_y_max_11,x_center,y_center,vx_center,vy_center,vx_center_var,vy_center_var,retention_count,body,matched,x_min_d,x_max_d,y_min_d,y_max_d
0.867,2175847562376,19,0.353,43.409,514.775,59.749,341.340,1,1,1,1,45.607,-131.663,52.767,97.121,1773.967,2618.426,2618.426,3939.562,1773.967,2618.426,2618.426,3939.562,1773.967,2618.426,2618.426,3939.562,1773.967,2618.426,2618.426,3939.562,279.092,200.545,-43.028,74.944,3547.934,3547.934,17,2175847562656,False,15.000,562.000,18.000,316.000
0.867,2175804665248,19,0.337,111.275,232.049,207.598,290.963,1,1,1,1,145.821,-520.568,269.313,14.398,312.586,462.013,462.013,746.337,312.586,462.013,462.013,746.337,312.586,462.013,462.013,746.337,312.586,462.013,462.013,746.337,171.662,249.281,-187.373,141.856,625.171,625.171,6,2175847561816,False,97.000,291.000,187.000,266.000
0.900,2175847562376,19,0.353,44.929,510.386,61.508,344.577,1,1,1,1,45.607,-131.663,52.767,97.121,1953.006,2749.745,2749.745,3940.562,1953.006,2749.745,2749.745,3940.562,1953.006,2749.745,2749.745,3940.562,1953.006,2749.745,2749.745,3940.562,277.657,203.043,-43.028,74.944,3906.012,3906.012,18,2175847562656,False,15.000,562.000,18.000,316.000
0.900,2175804665248,19,0.337,116.136,214.697,216.575,291.443,1,1,1,1,145.821,-520.568,269.313,14.398,344.316,486.891,486.891,747.337,344.316,486.891,486.891,747.337,344.316,486.891,486.891,747.337,344.316,486.891,486.891,747.337,165.417,254.009,-187.373,141.856,688.631,688.631,7,2175847561816,False,97.000,291.000,187.000,266.000
0.933,2175847562376,19,0.353,46.449,505.997,63.267,347.814,1,1,1,1,45.607,-131.663,52.767,97.121,2140.801,2881.097,2881.097,3941.562,2140.801,2881.097,2881.097,3941.562,2140.801,2881.097,2881.097,3941.562,2140.801,2881.097,2881.097,3941.562,276.223,205.541,-43.028,74.944,4281.601,4281.601,19,2175847562656,False,15.000,562.000,18.000,316.000
0.933,2175804665248,19,0.337,120.997,197.345,225.552,291.923,1,1,1,1,145.821,-520.568,269.313,14.398,377.705,511.802,511.802,748.337,377.705,511.802,511.802,748.337,377.705,511.802,511.802,748.337,377.705,511.802,511.802,748.337,159.171,258.738,-187.373,141.856,755.411,755.411,8,2175847561816,False,97.000,291.000,187.000,266.000
0.967,2175847562376,19,0.353,47.969,501.608,65.026,351.052,1,1,1,1,45.607,-131.663,52.767,97.121,2337.353,3012.482,3012.482,3942.562,2337.353,3012.482,3012.482,3942.562,2337.353,3012.482,3012.482,3942.562,2337.353,3012.482,3012.482,3942.562,274.789,208.039,-43.028,74.944,4674.707,4674.707,20,2175847562656,False,15.000,562.000,18.000,316.000
0.967,2175804665248,19,0.337,125.858,179.992,234.529,292.403,1,1,1,1,145.821,-520.568,269.313,14.398,412.757,536.747,536.747,749.337,412.757,536.747,536.747,749.337,412.757,536.747,536.747,749.337,412.757,536.747,536.747,749.337,152.925,263.466,-187.373,141.856,825.514,825.514,9,2175847561816,False,97.000,291.000,187.000,266.000
1.000,2175847562376,19,0.353,49.490,497.220,66.785,354.289,1,1,1,1,45.607,-131.663,52.767,97.121,2542.666,3143.901,3143.901,3943.562,2542.666,3143.901,3143.901,3943.562,2542.666,3143.901,3143.901,3943.562,2542.666,3143.901,3143.901,3943.562,273.355,210.537,-43.028,74.944,5085.332,5085.332,21,2175847562656,False,15.000,562.000,18.000,316.000
1.000,2175804665248,19,0.337,130.718,162.640,243.506,292.883,1,1,1,1,145.821,-520.568,269.313,14.398,449.473,561.725,561.725,750.337,449.473,561.725,561.725,750.337,449.473,561.725,561.725,750.337,449.473,561.725,561.725,750.337,146.679,268.195,-187.373,141.856,898.946,898.946,10,2175847561816,False,97.000,291.000,187.000,266.000
