time,id,class_id,x,y,z,vx,vy,vz,ax,ay,az,pattern
0.720,2223370926008,7,2.623,-0.733,-13.537,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.720,2223370927408,7,0.296,-1.552,-12.183,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.720,2223372514864,7,0.892,0.956,-17.693,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.720,2223372516152,7,-0.817,-0.406,-18.627,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.760,2223370926512,7,2.854,-14.010,-60.807,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.760,2223370926008,7,2.652,-0.778,-13.467,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.760,2223370927408,7,0.310,-1.582,-11.996,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.760,2223372514864,7,0.935,0.941,-17.758,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.760,2223372516152,7,-0.772,-0.467,-18.460,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.800,2223370926512,7,3.314,-16.130,-69.526,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.800,2223370926008,7,2.661,-0.819,-13.318,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.800,2223370927408,7,0.325,-1.617,-11.823,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.800,2223372514864,7,0.973,0.913,-17.529,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.800,2223372516152,7,-0.717,-0.519,-18.174,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.840,2223370926512,7,3.927,-18.959,-81.165,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.840,2223370926008,7,2.674,-0.849,-13.195,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.840,2223370927408,7,0.333,-1.662,-11.713,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.840,2223372514864,7,1.014,0.895,-17.455,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.840,2223372516152,7,-0.659,-0.561,-17.853,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.880,2223370926512,7,4.787,-22.926,-97.485,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.880,2223370926008,7,2.710,-0.888,-13.157,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.880,2223370927408,7,0.346,-1.705,-11.607,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.880,2223372514864,7,1.047,0.870,-17.276,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.880,2223372516152,7,-0.611,-0.601,-17.563,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.920,2223370926512,7,6.079,-28.889,-122.018,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.920,2223370926008,7,2.724,-0.926,-13.037,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.920,2223370927408,7,0.367,-1.752,-11.522,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.920,2223372514864,7,1.061,0.851,-17.099,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.920,2223372516152,7,-0.562,-0.636,-17.227,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.960,2223370926512,7,8.241,-38.864,-163.053,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.960,2223370926008,7,2.731,-0.966,-12.913,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.960,2223370927408,7,0.391,-1.792,-11.420,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.960,2223372514864,7,1.071,0.828,-16.864,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.960,2223372516152,7,-0.524,-0.672,-17.086,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.000,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
1.000,2223370926008,7,2.751,-1.010,-12.852,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.000,2223370927408,7,0.413,-1.829,-11.287,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.000,2223372514864,7,1.082,0.809,-16.719,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.000,2223372516152,7,-0.467,-0.714,-16.847,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.040,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.040,2223370926008,7,2.779,-1.059,-12.804,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.040,2223370927408,7,0.435,-1.873,-11.214,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.040,2223372514864,7,1.095,0.790,-16.595,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.040,2223372516152,7,-0.415,-0.750,-16.670,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.080,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.080,2223370926008,7,2.814,-1.109,-12.797,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.080,2223370927408,7,0.459,-1.926,-11.209,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.080,2223372514864,7,1.108,0.770,-16.473,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.080,2223372516152,7,-0.364,-0.784,-16.449,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.120,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.120,2223370926008,7,2.846,-1.157,-12.786,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.120,2223370927408,7,0.483,-1.972,-11.198,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.120,2223372514864,7,1.133,0.745,-16.335,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.120,2223372516152,7,-0.317,-0.816,-16.246,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.160,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.160,2223370926008,7,2.869,-1.196,-12.727,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.160,2223370927408,7,0.510,-2.025,-11.238,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.160,2223372514864,7,1.159,0.717,-16.201,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.160,2223372516152,7,-0.275,-0.842,-15.976,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.200,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.200,2223370926008,7,2.899,-1.244,-12.676,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.200,2223370927408,7,0.535,-2.086,-11.310,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.200,2223372514864,7,1.182,0.687,-16.023,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.200,2223372516152,7,-0.235,-0.866,-15.637,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.240,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.240,2223370926008,7,2.923,-1.287,-12.616,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.240,2223370927408,7,0.563,-2.159,-11.455,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.240,2223372514864,7,1.214,0.654,-15.955,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.240,2223372516152,7,-0.195,-0.896,-15.389,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.280,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.280,2223370926008,7,2.937,-1.325,-12.507,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.280,2223370927408,7,0.598,-2.252,-11.708,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.280,2223372514864,7,1.234,0.619,-15.773,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.280,2223372516152,7,-0.157,-0.924,-15.151,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.320,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.320,2223370926008,7,2.954,-1.366,-12.409,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.320,2223370927408,7,0.641,-2.358,-12.027,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.320,2223372514864,7,1.256,0.587,-15.599,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.320,2223372516152,7,-0.121,-0.967,-15.090,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.360,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.360,2223370926008,7,2.990,-1.416,-12.400,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.360,2223370927408,7,0.694,-2.468,-12.370,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.360,2223372514864,7,1.277,0.555,-15.433,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.360,2223372516152,7,-0.088,-1.004,-14.957,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.400,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.400,2223370926008,7,3.025,-1.461,-12.366,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.400,2223370927408,7,0.753,-2.591,-12.777,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.400,2223372514864,7,1.295,0.523,-15.263,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.400,2223372516152,7,-0.053,-1.038,-14.762,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.440,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.440,2223370926008,7,3.052,-1.503,-12.293,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.440,2223370927408,7,0.821,-2.736,-13.280,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.440,2223372514864,7,1.304,0.490,-14.963,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.440,2223372516152,7,-0.021,-1.077,-14.628,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.480,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.480,2223370926008,7,3.055,-1.536,-12.151,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.480,2223370927408,7,0.893,-2.905,-13.890,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.480,2223372514864,7,1.331,0.471,-14.869,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.480,2223372516152,7,0.008,-1.116,-14.491,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.520,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.520,2223370926008,7,3.082,-1.578,-12.070,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.520,2223370927408,7,0.975,-3.088,-14.558,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.520,2223372514864,7,1.351,0.449,-14.768,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.520,2223372516152,7,0.039,-1.159,-14.384,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.560,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.560,2223370926008,7,3.114,-1.622,-12.017,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.560,2223370927408,7,1.066,-3.290,-15.309,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.560,2223372514864,7,1.370,0.428,-14.660,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.560,2223372516152,7,0.072,-1.198,-14.243,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.600,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.600,2223370926008,7,3.137,-1.665,-11.933,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.600,2223370927408,7,1.150,-3.512,-16.144,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.600,2223372514864,7,1.387,0.408,-14.546,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.600,2223372516152,7,0.102,-1.234,-14.111,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.640,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.640,2223370926008,7,3.152,-1.703,-11.826,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.640,2223370927408,7,1.266,-3.804,-17.245,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.640,2223372514864,7,1.411,0.389,-14.512,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.640,2223372516152,7,0.131,-1.260,-13.912,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.680,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.680,2223370926008,7,3.171,-1.748,-11.736,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.680,2223370927408,7,1.401,-4.146,-18.541,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.680,2223372514864,7,1.435,0.370,-14.487,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.680,2223372516152,7,0.157,-1.282,-13.667,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.720,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.720,2223370926008,7,3.194,-1.793,-11.671,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.720,2223370927408,7,1.446,-4.254,-18.870,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.720,2223372514864,7,1.467,0.348,-14.441,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.720,2223372516152,7,0.184,-1.309,-13.456,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.760,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.760,2223370926008,7,3.203,-1.831,-11.552,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.760,2223370927408,7,1.494,-4.366,-19.210,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.760,2223372514864,7,1.508,0.322,-14.476,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.760,2223372516152,7,0.209,-1.343,-13.292,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.760,2223371005456,7,-0.685,-0.632,-16.071,0.000,0.000,0.000,0.000,0.000,0.000,2223371005792
1.800,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.800,2223370926008,7,3.225,-1.873,-11.476,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.800,2223370927408,7,1.543,-4.482,-19.564,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.800,2223372514864,7,1.544,0.293,-14.462,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.800,2223372516152,7,0.233,-1.380,-13.163,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.800,2223371005456,7,-0.631,-0.623,-15.224,0.000,0.000,0.000,0.000,0.000,0.000,2223371005792
1.840,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.840,2223370926008,7,3.248,-1.914,-11.413,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.840,2223370927408,7,1.594,-4.602,-19.930,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.840,2223372514864,7,1.576,0.260,-14.392,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.840,2223372516152,7,0.258,-1.415,-13.027,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.840,2223371005456,7,-0.615,-0.680,-15.269,0.000,0.000,0.000,0.000,0.000,0.000,2223371005792
1.880,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.880,2223370926008,7,3.274,-1.956,-11.367,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.880,2223370927408,7,1.647,-4.726,-20.311,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.880,2223372514864,7,1.601,0.227,-14.287,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.880,2223372516152,7,0.281,-1.448,-12.878,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.880,2223371005456,7,-0.585,-0.734,-15.244,0.000,0.000,0.000,0.000,0.000,0.000,2223371005792
1.920,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.920,2223370926008,7,3.292,-2.000,-11.327,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.920,2223370927408,7,1.703,-4.856,-20.706,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.920,2223372514864,7,1.621,0.190,-14.176,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.920,2223372516152,7,0.303,-1.481,-12.712,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.920,2223371005456,7,-0.560,-0.784,-15.200,0.000,0.000,0.000,0.000,0.000,0.000,2223371005792
1.960,2223370926512,7,12.594,-58.947,-245.670,0.000,0.000,0.000,0.000,0.000,0.000,0
1.960,2223370926008,7,3.321,-2.046,-11.327,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
1.960,2223370927408,7,1.760,-4.990,-21.117,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
1.960,2223372514864,7,1.655,0.159,-14.155,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
1.960,2223372516152,7,0.320,-1.508,-12.524,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
1.960,2223371005456,7,-0.556,-0.901,-15.730,0.000,0.000,0.000,0.000,0.000,0.000,2223371005792
