time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,pattern,matched
3.737,2059438639032,4,0.836,702.000,863.000,34.000,322.000,1,1,1,1,0,True
3.770,2059438639200,4,0.847,699.000,863.000,34.000,323.000,1,1,1,1,0,True
3.804,2059438639368,4,0.761,700.000,862.000,34.000,323.000,1,1,1,1,0,True
3.837,2059438639536,4,0.787,694.000,865.000,30.000,321.000,1,1,2,1,0,True
3.871,2059438639704,4,0.750,693.000,867.000,29.000,319.000,1,1,2,1,0,True
3.904,2059438639872,4,0.802,692.000,867.000,28.000,320.000,1,1,2,1,0,True
3.937,2059438640040,4,0.851,682.000,876.000,27.000,326.000,1,1,2,1,0,True
3.971,2059438640208,4,0.837,694.000,869.000,31.000,320.000,1,1,1,1,0,True
4.004,2059438640376,4,0.877,698.000,867.000,33.000,320.000,1,1,1,1,0,True
4.037,2059438606768,4,0.879,684.000,881.000,32.000,328.000,1,1,1,1,0,True
4.071,2059438640712,4,0.854,698.000,869.000,27.000,318.000,1,1,2,1,0,True
4.104,2059438640880,4,0.845,693.000,869.000,27.000,316.000,1,1,2,1,0,True
4.137,2059438641048,4,0.826,693.000,871.000,27.000,320.000,1,1,2,1,0,True
4.171,2059445043328,4,0.857,694.000,871.000,29.000,320.000,1,1,2,1,0,True
4.204,2059445043496,4,0.815,698.000,870.000,31.000,323.000,1,1,1,1,0,True
4.238,2059445043664,4,0.780,698.000,874.000,34.000,321.000,1,1,1,1,0,True
4.271,2059445043832,4,0.790,699.000,873.000,32.000,318.000,1,1,1,1,0,True
4.304,2059445044000,4,0.772,695.000,873.000,33.000,320.000,1,1,1,1,0,True
4.338,2059445044168,4,0.799,692.000,872.000,31.000,320.000,1,1,1,1,0,True
4.371,2059445044336,4,0.752,691.000,875.000,32.000,322.000,1,1,1,1,0,True
4.404,2059445044504,4,0.786,692.000,873.000,30.000,322.000,1,1,2,1,0,True
4.438,2059445044672,4,0.771,694.000,874.000,31.000,322.000,1,1,1,1,0,True
4.471,2059445044840,4,0.753,698.000,875.000,30.000,319.000,1,1,2,1,0,True
4.505,2059445045008,4,0.634,698.000,879.000,31.000,320.000,1,1,1,1,0,True
4.538,2059445045176,4,0.665,698.000,879.000,30.000,319.000,1,1,2,1,0,True
4.571,2059445045344,4,0.689,699.000,878.000,30.000,320.000,1,1,2,1,0,True
4.605,2059445045512,4,0.594,701.000,878.000,30.000,319.000,1,1,2,1,0,True
4.638,2059445045680,4,0.558,698.000,882.000,28.000,318.000,1,1,2,1,0,True
4.671,2059445045848,4,0.626,697.000,882.000,30.000,314.000,1,1,2,1,0,True
4.705,2059445046016,4,0.687,696.000,879.000,31.000,316.000,1,1,1,1,0,True
4.738,2059445046184,4,0.524,699.000,878.000,32.000,319.000,1,1,1,1,0,True
4.771,2059445046352,4,0.588,699.000,876.000,32.000,320.000,1,1,1,1,0,True
4.805,2059445046520,4,0.597,699.000,878.000,31.000,320.000,1,1,1,1,0,True
4.838,2059445046688,4,0.462,699.000,880.000,30.000,320.000,1,1,2,1,0,True
4.872,2059445046856,4,0.409,700.000,882.000,26.000,318.000,1,1,2,1,0,True
4.905,2059445047024,4,0.399,699.000,885.000,26.000,315.000,1,1,2,1,0,True
4.938,2059445047192,4,0.367,700.000,884.000,29.000,314.000,1,1,2,1,0,True
4.972,2059445063808,4,0.291,706.000,886.000,31.000,319.000,1,1,1,1,0,True
5.005,2059445063976,4,0.357,704.000,885.000,30.000,319.000,1,1,2,1,0,True
5.038,2059438640544,4,0.277,739.000,900.000,34.000,324.000,1,1,1,1,0,True
5.072,2059445064312,4,0.335,736.000,901.000,33.000,322.000,1,1,1,1,0,True
5.105,2059445064480,4,0.387,735.000,908.000,21.000,326.000,1,1,2,1,0,True
5.138,2059445064648,4,0.394,737.000,905.000,20.000,325.000,1,1,2,1,0,True
5.172,2059445064816,4,0.401,736.000,909.000,23.000,324.000,1,1,2,1,0,True
5.205,2059445064984,4,0.367,733.000,909.000,23.000,325.000,1,1,2,1,0,True
5.239,2059445065152,4,0.343,704.000,887.000,36.000,321.000,1,1,1,1,0,True
5.272,2059445065320,4,0.385,698.000,896.000,33.000,336.000,1,1,1,1,0,True
5.305,2059445065488,4,0.302,735.000,907.000,20.000,328.000,1,1,2,1,0,True
5.339,2059445065656,4,0.455,739.000,906.000,21.000,325.000,1,1,2,1,0,True
5.372,2059445065824,4,0.607,743.000,908.000,17.000,327.000,1,1,2,1,0,True
5.405,2059445065992,4,0.666,744.000,910.000,18.000,327.000,1,1,2,1,0,True
5.439,2059445066160,4,0.588,748.000,902.000,30.000,327.000,1,1,2,1,0,True
5.472,2059445066328,4,0.640,738.000,913.000,23.000,325.000,1,1,2,1,0,True
5.506,2059445066496,4,0.484,737.000,909.000,21.000,325.000,1,1,2,1,0,True
5.539,2059445066664,4,0.488,740.000,910.000,20.000,324.000,1,1,2,1,0,True
5.572,2059445066832,4,0.572,741.000,910.000,21.000,324.000,1,1,2,1,0,True
5.606,2059445067000,4,0.722,741.000,910.000,22.000,326.000,1,1,2,1,0,True
5.639,2059445067168,4,0.730,743.000,912.000,23.000,328.000,1,1,2,1,0,True
5.672,2059445067336,4,0.772,742.000,916.000,23.000,329.000,1,1,2,1,0,True
5.706,2059445067504,4,0.692,736.000,918.000,24.000,329.000,1,1,2,1,0,True
5.739,2059445067672,4,0.552,737.000,918.000,21.000,330.000,1,1,2,1,0,True
5.772,2059445088384,4,0.564,747.000,909.000,27.000,324.000,1,1,2,1,0,True
5.806,2059445088552,4,0.506,748.000,910.000,25.000,323.000,1,1,2,1,0,True
5.839,2059445088720,4,0.622,748.000,911.000,25.000,323.000,1,1,2,1,0,True
5.873,2059445088888,4,0.673,748.000,913.000,27.000,324.000,1,1,2,1,0,True
5.906,2059445089056,4,0.707,748.000,911.000,24.000,321.000,1,1,2,1,0,True
5.939,2059445089224,4,0.712,746.000,914.000,24.000,320.000,1,1,2,1,0,True
5.973,2059445089392,4,0.712,738.000,921.000,19.000,322.000,1,1,2,1,0,True
6.006,2059445089560,4,0.718,748.000,917.000,27.000,323.000,1,1,2,1,0,True
6.039,2059445064144,4,0.788,751.000,918.000,25.000,324.000,1,1,2,1,0,True
6.073,2059445089896,4,0.800,754.000,918.000,25.000,323.000,1,1,2,1,0,True
6.106,2059445090064,4,0.796,754.000,917.000,28.000,324.000,1,1,2,1,0,True
6.139,2059445090232,4,0.655,753.000,918.000,27.000,324.000,1,1,2,1,0,True
6.173,2059445090400,4,0.694,743.000,922.000,17.000,323.000,1,1,2,1,0,True
6.206,2059445090568,4,0.722,749.000,918.000,24.000,321.000,1,1,2,1,0,True
6.240,2059445090736,4,0.738,751.000,921.000,26.000,324.000,1,1,2,1,0,True
6.273,2059445090904,4,0.684,752.000,922.000,28.000,327.000,1,1,2,1,0,True
6.306,2059445091072,4,0.792,751.000,921.000,30.000,330.000,1,1,2,1,0,True
6.340,2059445091240,4,0.787,747.000,922.000,31.000,326.000,1,1,1,1,0,True
6.373,2059445091408,4,0.743,749.000,921.000,32.000,328.000,1,1,1,1,0,True
6.406,2059445091576,4,0.739,750.000,922.000,28.000,325.000,1,1,2,1,0,True
6.440,2059445091744,4,0.771,749.000,922.000,26.000,323.000,1,1,2,1,0,True
6.473,2059445091912,4,0.747,750.000,923.000,27.000,327.000,1,1,2,1,0,True
6.507,2059445092080,4,0.772,749.000,925.000,29.000,325.000,1,1,2,1,0,True
6.540,2059445092248,4,0.791,748.000,925.000,30.000,326.000,1,1,2,1,0,True
6.573,2059445141632,4,0.802,749.000,924.000,31.000,322.000,1,1,1,1,0,True
6.607,2059445141800,4,0.791,752.000,922.000,28.000,323.000,1,1,2,1,0,True
6.640,2059445141968,4,0.818,753.000,924.000,28.000,321.000,1,1,2,1,0,True
6.673,2059445142136,4,0.837,755.000,926.000,27.000,320.000,1,1,2,1,0,True
6.707,2059445142304,4,0.836,756.000,926.000,25.000,321.000,1,1,2,1,0,True
6.740,2059445142472,4,0.847,755.000,929.000,29.000,322.000,1,1,2,1,0,True
6.773,2059445142640,4,0.888,759.000,929.000,32.000,321.000,1,1,1,1,0,True
6.807,2059445142808,4,0.881,758.000,928.000,30.000,321.000,1,1,2,1,0,True
6.840,2059445142976,4,0.910,760.000,929.000,29.000,319.000,1,1,2,1,0,True
6.874,2059445143144,4,0.875,762.000,929.000,26.000,321.000,1,1,2,1,0,True
6.907,2059445143312,4,0.812,762.000,931.000,23.000,323.000,1,1,2,1,0,True
6.940,2059445143480,4,0.728,761.000,929.000,24.000,325.000,1,1,2,1,0,True
6.974,2059445143648,4,0.739,759.000,931.000,25.000,323.000,1,1,2,1,0,True
7.007,2059445143816,4,0.808,757.000,931.000,27.000,322.000,1,1,2,1,0,True
7.040,2059445089728,4,0.750,760.000,930.000,28.000,323.000,1,1,2,1,0,True
7.074,2059445144152,4,0.710,764.000,930.000,27.000,324.000,1,1,2,1,0,True
7.107,2059445144320,4,0.759,762.000,932.000,23.000,322.000,1,1,2,1,0,True
7.140,2059445144488,4,0.748,761.000,932.000,23.000,324.000,1,1,2,1,0,True
7.174,2059445144656,4,0.806,758.000,935.000,28.000,322.000,1,1,2,1,0,True
7.207,2059445144824,4,0.900,757.000,935.000,28.000,321.000,1,1,2,1,0,True
7.241,2059445144992,4,0.900,756.000,933.000,28.000,321.000,1,1,2,1,0,True
7.274,2059445145160,4,0.888,756.000,933.000,31.000,322.000,1,1,1,1,0,True
7.307,2059445145328,4,0.847,758.000,933.000,31.000,323.000,1,1,1,1,0,True
7.341,2059445145496,4,0.863,759.000,934.000,29.000,322.000,1,1,2,1,0,True
7.374,2059438612608,4,0.855,757.000,935.000,27.000,319.000,1,1,2,1,0,True
7.407,2059438612776,4,0.820,759.000,935.000,28.000,322.000,1,1,2,1,0,True
7.441,2059438612944,4,0.829,759.000,937.000,29.000,323.000,1,1,2,1,0,True
